qa_id,question,true_answer,source_article_id,category
0,Who has been called in to coach Geraint Jones?,Jack Russell,cricket_005,cricket
1,Which team did Geraint Jones tour with in South Africa?,England,cricket_005,cricket
2,Who is the England coach mentioned in the article?,Duncan Fletcher,cricket_005,cricket
3,Who said France can claim another Six Nations Grand Slam?,Christophe Dominici,rugby_139,rugby
4,What was the score in France's win against England?,18-17,rugby_139,rugby
5,Who is definitely out with a knee injury?,Jimmy Marlu,rugby_139,rugby
6,Who is the Italy skipper mentioned in the article?,Marco Bortolami,rugby_052,rugby
7,Where is the Six Nations contest between Italy and Scotland taking place?,Murrayfield,rugby_052,rugby
8,How many wins has Italy recorded since joining the Six Nations in 2000?,three,rugby_052,rugby
9,Who scored the winning goal for Arsenal against Portsmouth?,Sol Campbell,football_174,football
10,How long had it been since Sol Campbell's last goal before this match?,16 months,football_174,football
11,Which Arsenal player had a shot blocked by Jamie Ashdown?,Thierry Henry,football_174,football
12,Who is the new Scotland manager mentioned in the article?,Walter Smith,football_025,football
13,Which team is John Toshack managing for his first game?,Wales,football_025,football
14,Against which team is Wales playing under John Toshack's management?,Hungary,football_025,football
15,Who defeated Venus Williams in the first round of the Dubai Championships?,Sylvia Farina Elia,tennis_019,tennis
16,What was the score when Sylvia Farina Elia defeated Venus Williams?,7-5 7-6 (8-6),tennis_019,tennis
17,Who did Sania Mirza defeat to reach the second round?,Jelena Kostanic,tennis_019,tennis
18,Who will Tim Henman face in the first round of the Australian Open?,Cyril Saulnier,tennis_056,tennis
19,Who is the defending champion and world number one at the Australian Open?,Roger Federer,tennis_056,tennis
20,Which player is hoping to become the first Australian man to win the event since 1976?,Lleyton Hewitt,tennis_056,tennis
21,Which teams were charged by the Football Association?,Liverpool and Millwall,football_140,football
22,What was the score of the Carling Cup match between Liverpool and Millwall?,3-0,football_140,football
23,Where did the Carling Cup match between Liverpool and Millwall take place?,Millwall's new Den Stadium,football_140,football
24,When is the London Marathon scheduled to take place?,17 April,athletics_019,athletics
25,Who is the London Marathon race director?,David Bedford,athletics_019,athletics
26,In which race did Susan Chepkemei finish third recently?,world best 10K race,athletics_019,athletics
27,"Who is the two-time Olympic 10,000 metres champion mentioned?",Derartu Tulu,athletics_085,athletics
28,What event will Derartu Tulu participate in on 8 May?,BUPA Great Caledonian Run,athletics_085,athletics
29,Which marathons has Derartu Tulu won?,"Boston, London, Tokyo",athletics_085,athletics
30,Who had their suspension lifted by Kenya's athletics body?,Susan Chepkemei,athletics_013,athletics
31,What event is Susan Chepkemei hoping to compete in?,world cross country championships,athletics_013,athletics
32,Who is the AK chief that commented on Chepkemei's suspension?,Isaiah Kiplagat,athletics_013,athletics
33,Who was named in Australia's 13-man squad for the Test series in New Zealand?,Brad Hodge,cricket_028,cricket
34,When will the first Test in New Zealand take place?,10-14 March,cricket_028,cricket
35,Who are the three bowlers Brett Lee faces competition from?,"Glenn McGrath, Jason Gillespie, Michael Kasprowicz",cricket_028,cricket
36,How many Grand Slams has Lindsay Davenport won?,Three,tennis_040,tennis
37,Which Grand Slam did Lindsay Davenport win in 2000?,Australian Open,tennis_040,tennis
38,Why did Lindsay Davenport decide not to participate in the Hopman Cup?,To rest her knee,tennis_040,tennis
39,Who turned down Roger Federer's offer to be his full-time coach?,Tony Roche,tennis_074,tennis
40,Which tournament is Roger Federer preparing to defend with Tony Roche's help?,Australian Open,tennis_074,tennis
41,Who was Roger Federer's coach before he split in 2003?,Peter Lundgren,tennis_074,tennis
42,Who is the captain of Italy's rugby team?,Marco Bortolami,rugby_135,rugby
43,Where is the third-round Six Nations game between Italy and Scotland being played?,Murrayfield,rugby_135,rugby
44,What was the score when Italy played against Ireland?,28-17,rugby_135,rugby
45,Who called for athletes found guilty on drugs charges to be treated as criminals?,Paula Radcliffe,athletics_046,athletics
46,What does Paula Radcliffe believe doping in sport should be treated as?,criminal offence,athletics_046,athletics
47,How old is Paula Radcliffe as mentioned in the article?,30,athletics_046,athletics
48,Which tournament is Scotland preparing for?,RBS Six Nations,rugby_070,rugby
49,Who will miss the first two games due to an ankle injury?,Simon Taylor,rugby_070,rugby
50,When is Scotland's opener in Paris scheduled?,5 February,rugby_070,rugby
51,What was the score of Australia in the third Test against India?,398,cricket_045,cricket
52,Who took 2-18 in 20 overs for Australia?,Glenn McGrath,cricket_045,cricket
53,How many runs did Mohammad Kaif score not out?,47,cricket_045,cricket
54,Which sprinter is determined to get his indoor campaign back on track?,Mark Lewis-Francis,athletics_098,athletics
55,Who did Mark Lewis-Francis pull out of the 60m final against at the Birmingham Games?,Jason Gardener,athletics_098,athletics
56,When is the Norwich Union Grand Prix in Birmingham?,18 February,athletics_098,athletics
57,Who is the president of the Kenya Cricket Association?,Sharad Ghai,cricket_091,cricket
58,Who appointed the caretaker committee for Kenya Cricket Association?,Sports Minister Ochillo Ayacko,cricket_091,cricket
59,How long is the caretaker committee supposed to serve before new elections?,Three months,cricket_091,cricket
60,Who won the Dubai Championship?,Roger Federer,tennis_005,tennis
