qa_id,question,true_answer,source_article_id,category,vanilla_answer,vanilla_confidence,rag_answer,rag_confidence,retrieved_chunk_ids
0,Who has been called in to coach Geraint Jones?,Jack Russell,cricket_005,cricket,There is no widely known information about a specific coach being called in to coach Geraint Jones.,0.3,Jack Russell,1.0,"[""cricket_005_c0"", ""rugby_054_c0"", ""rugby_021_c0""]"
1,Which team did Geraint Jones tour with in South Africa?,England,cricket_005,cricket,Geraint Jones toured with the England cricket team in South Africa.,0.9,England,0.9,"[""cricket_005_c0"", ""cricket_079_c0"", ""cricket_075_c1""]"
2,Who is the England coach mentioned in the article?,Duncan Fletcher,cricket_005,cricket,"I'm sorry, I don't have access to the article you're referring to.",0.0,Andy Robinson,1.0,"[""rugby_047_c0"", ""cricket_116_c0"", ""rugby_040_c0""]"
3,Who said France can claim another Six Nations Grand Slam?,Christophe Dominici,rugby_139,rugby,"Fabien Galthié, the head coach of the French national rugby team, has expressed confidence in France's ability to claim another Six Nations Grand Slam.",0.8,Christophe Dominici,0.9,"[""rugby_139_c0"", ""rugby_130_c1"", ""rugby_085_c0""]"
4,What was the score in France's win against England?,18-17,rugby_139,rugby,The score in France's win against England in the 2022 FIFA World Cup quarter-final was 2-1.,0.9,18-17,1.0,"[""rugby_141_c0"", ""rugby_003_c0"", ""rugby_141_c1""]"
5,Who is definitely out with a knee injury?,Jimmy Marlu,rugby_139,rugby,I cannot provide real-time injury updates.,0.5,Scott Gray,0.9,"[""football_017_c0"", ""football_068_c0"", ""rugby_070_c0""]"
6,Who is the Italy skipper mentioned in the article?,Marco Bortolami,rugby_052,rugby,I'm not sure who the Italy skipper is as the article is not provided.,0.2,M Bortolami,0.9,"[""rugby_022_c0"", ""rugby_039_c0"", ""rugby_067_c0""]"
7,Where is the Six Nations contest between Italy and Scotland taking place?,Murrayfield,rugby_052,rugby,"The Six Nations contest between Italy and Scotland typically takes place at either the Stadio Olimpico in Rome, Italy, or Murrayfield Stadium in Edinburgh, Scotland, depending on the year. The location alternates annually.",0.9,"Murrayfield, Edinburgh",1.0,"[""rugby_052_c0"", ""rugby_135_c0"", ""rugby_039_c0""]"
8,How many wins has Italy recorded since joining the Six Nations in 2000?,three,rugby_052,rugby,Italy has recorded 14 wins in the Six Nations since joining in 2000.,0.9,Italy have only recorded three wins since they joined the Six Nations in 2000.,0.9,"[""rugby_130_c1"", ""rugby_052_c0"", ""rugby_135_c0""]"
9,Who scored the winning goal for Arsenal against Portsmouth?,Sol Campbell,football_174,football,"Without a specific match date, it's unclear which game you're referring to. Arsenal and Portsmouth have played multiple times, and different players have scored winning goals in different matches.",0.3,Sol Campbell,0.9,"[""football_174_c0"", ""football_174_c1"", ""football_069_c1""]"
